dx,dy,dz
0.3409426229508197,9.085,0.54179993120489
0.1963757396449704,4.485,0.39112184382838233
0.19577272727272726,3.3350000000000004,0.4006035854969491
0.19484567901234567,2.645,0.40802217041355926
0.19388364779874212,2.0639473684210525,0.4157207019307963
0.17888297872340422,0.8947560975609757,0.4687914298368554
0.17668727915194346,0.8947560975609757,0.46713492301764387
0.1684219858156028,0.7298979591836735,0.46879142983685534
0.17078947368421052,0.42973684210526314,0.5798209790087422
0.16679906542056072,0.3720588235294118,0.6177531925887533
0.16519999999999999,0.36463414634146346,0.660995916069966
0.15966494845360824,0.36537974683544305,0.6814390887319238
0.14442708333333332,0.3597435897435898,0.6885374125728814
0.09833333333333333,0.30798850574712644,0.6480352118333
0.06400943396226415,0.2766216216216216,0.6235810528961944
0.036179245283018864,0.2034615384615385,0.6235810528961944
-0.02107142857142857,0.1520967741935484,0.6295199200666343
-0.046357142857142854,0.11255319148936171,0.6295199200666344
-0.06122641509433962,0.08594736842105263,0.6235810528961944
-0.07340697674418604,0.06708333333333334,0.6148799219255497
-0.08684579439252335,0.04552083333333334,0.6177531925887534
-0.10106481481481482,0.023958333333333335,0.6120332556203391
-0.1174537037037037,-0.0041709844559585495,0.6120332556203391
-0.125848623853211,-0.017783505154639175,0.606418271623822
-0.13126146788990825,-0.02963917525773196,0.6064182716238222
-0.13930555555555554,-0.03912371134020619,0.6120332556203391
-0.13930555555555554,-0.040692307692307694,0.6120332556203391
-0.14479357798165138,-0.05078680203045686,0.6064182716238221
-0.1475,-0.061565656565656574,0.6009053782454237
-0.15020642201834863,-0.0731818181818182,0.6064182716238222
-0.14479357798165138,-0.0759,0.6064182716238221
-0.13938073394495412,-0.07819999999999999,0.6064182716238221
-0.12855504587155964,-0.08015151515151515,0.6064182716238221
-0.12043577981651377,-0.0805,0.606418271623822
-0.11472222222222223,-0.08247474747474748,0.612033255620339
-0.10925925925925925,-0.08379396984924624,0.612033255620339
-0.10419724770642201,-0.0851,0.6064182716238221
-0.1014908256880734,-0.0851,0.6064182716238221
-0.09607798165137614,-0.0874,0.6064182716238221
-0.08795871559633027,-0.0851,0.606418271623822
-0.08525229357798166,-0.0841044776119403,0.6064182716238221
-0.06555555555555556,-0.0759,0.612033255620339
-0.05548165137614679,-0.06945544554455446,0.606418271623822
-0.048272727272727266,-0.06313725490196079,0.6009053782454237
-0.042909090909090904,-0.05862745098039216,0.6009053782454237
-0.04385135135135135,-0.05862745098039216,0.5954918162792486
-0.04385135135135135,-0.05528846153846154,0.5954918162792486
-0.045590909090909085,-0.05186274509803922,0.6009053782454237
-0.042909090909090904,-0.0496078431372549,0.6009053782454237
-0.03754545454545454,-0.04577669902912621,0.6009053782454236
-0.03218181818181818,-0.042777777777777776,0.6009053782454237
-0.029499999999999995,-0.04131067961165049,0.6009053782454237
-0.025247747747747747,-0.03907766990291262,0.5954918162792486
-0.01877272727272727,-0.03538461538461539,0.6009053782454237
-0.011959459459459459,-0.03538461538461539,0.5954918162792486
