time,vel_x,vel_y,vel_z,roll,pitch,yaw,st
4.589999999999947,-0.01837814226746559,-0.019970592111349106,-0.034513041377067566,0.014344322495162487,0.007719449233263731,2.4987316131591797,1
4.599999999999946,-0.01837814226746559,-0.019970592111349106,-0.034513041377067566,0.014344322495162487,0.007719449233263731,2.4987316131591797,1
4.609999999999946,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.619999999999946,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.629999999999946,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.6399999999999455,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.649999999999945,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.659999999999945,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.669999999999945,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.679999999999945,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.689999999999944,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.699999999999944,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.709999999999944,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.719999999999944,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.729999999999944,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.739999999999943,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.749999999999943,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.759999999999943,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.769999999999943,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.7799999999999425,-0.004432612098753452,-0.024262333288788795,-0.026281634345650673,0.00926131010055542,0.01448054052889347,2.4969747066497803,1
4.789999999999942,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.799999999999942,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.809999999999942,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.819999999999942,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.8299999999999415,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.839999999999941,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.849999999999941,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.859999999999941,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.869999999999941,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.87999999999994,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.88999999999994,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.89999999999994,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.90999999999994,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.9199999999999395,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.929999999999939,0.013767469674348831,-0.02550249919295311,-0.008604642935097218,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.939999999999939,0.022489644587039948,-0.022945549339056015,-0.01199673768132925,0.008400176651775837,0.013989710249006748,2.4928877353668213,1
4.949999999999939,0.022489644587039948,-0.022945549339056015,-0.01199673768132925,0.012749547138810158,0.007311060093343258,2.489081382751465,1
4.959999999999939,0.022489644587039948,-0.022945549339056015,-0.01199673768132925,0.012749547138810158,0.007311060093343258,2.489081382751465,1
